acup,hand_pos,n,detected,det_rate,u_mean,u_std,v_mean,v_std
ekmoon,dorsal_left,2778,2548,91.7,0.1637,0.3626,1.0230,0.1810
ekmoon,dorsal_right,2887,2357,81.6,0.2129,0.2941,0.9872,0.1734
gwanchung,dorsal_left,2708,2483,91.7,0.7431,0.2386,1.5808,0.2598
gwanchung,dorsal_right,2799,2280,81.5,0.8701,0.3134,1.3520,0.3003
hapgok,dorsal_left,2715,2523,92.9,0.7702,1.0397,-0.4004,0.8555
hapgok,dorsal_right,2762,2296,83.1,0.7449,0.3606,-0.3092,0.3063
hugye,dorsal_left,2729,2512,92.0,-0.1921,0.3201,0.9802,0.1762
hugye,dorsal_right,2798,2344,83.8,-0.2105,0.2652,1.0034,0.1535
jungjer,dorsal_left,2746,2519,91.7,0.0594,0.3558,0.7968,0.1767
jungjer,dorsal_right,2850,2336,82.0,0.0521,0.3600,0.7955,0.1891
nogung,dorsal_left,2592,2582,99.6,0.7058,0.0498,0.0938,0.0489
nogung,dorsal_right,2772,2718,98.1,0.7113,0.0455,0.0713,0.0597
sangyang,dorsal_left,2767,2538,91.7,1.6084,0.7069,0.5754,0.7442
sangyang,dorsal_right,2881,2353,81.7,1.7328,0.5097,0.3167,0.6358
sochung,dorsal_left,2608,2390,91.6,0.3732,0.2534,1.5788,0.2507
sochung,dorsal_right,2679,2169,81.0,0.4407,0.2878,1.4352,0.2543
sotack,dorsal_left,2346,2137,91.1,0.2534,0.2633,1.7009,0.2674
sotack,dorsal_right,2703,2201,81.4,0.3071,0.3164,1.6075,0.2575
taeyeon,dorsal_left,762,762,100.0,0.4131,0.0805,-0.5304,0.0720
taeyeon,dorsal_right,408,408,100.0,0.4221,0.0775,-0.5667,0.0829
urjae,dorsal_left,1398,1396,99.9,0.7249,0.1101,-0.6183,0.1083
urjae,dorsal_right,1991,1986,99.7,0.6941,0.1034,-0.5817,0.1134
